Loaded 10 LoCoMo conversations

======================================================================
INGESTION: MEM0
Output: /Users/shubhtrivedi/Desktop/aurra/benchmarks/locomo/results/ingestion_mem0.json
======================================================================

[mem0] [1/10] conv-26 — Caroline & Melanie
   ✓ session 1/19 (18 msgs, 30.4s, +0 mems)
   ✓ session 2/19 (17 msgs, 30.7s, +0 mems)
   ✓ session 3/19 (23 msgs, 30.5s, +0 mems)
   ✓ session 4/19 (18 msgs, 30.7s, +0 mems)
   ✓ session 5/19 (16 msgs, 30.6s, +0 mems)
   ✓ session 6/19 (16 msgs, 30.5s, +0 mems)
   ✓ session 7/19 (27 msgs, 31.5s, +0 mems)
   ✓ session 8/19 (39 msgs, 30.7s, +0 mems)
   ✓ session 9/19 (17 msgs, 30.6s, +0 mems)
   ✓ session 10/19 (24 msgs, 30.5s, +0 mems)
   ✓ session 11/19 (17 msgs, 30.6s, +0 mems)
   ✓ session 12/19 (21 msgs, 30.5s, +0 mems)
   ✓ session 13/19 (18 msgs, 30.5s, +0 mems)
   ✓ session 14/19 (35 msgs, 30.6s, +0 mems)
   ✓ session 15/19 (28 msgs, 30.8s, +0 mems)
   ✓ session 16/19 (20 msgs, 30.6s, +0 mems)
   ✓ session 17/19 (26 msgs, 30.5s, +0 mems)
   ✓ session 18/19 (24 msgs, 30.5s, +0 mems)
   ✓ session 19/19 (15 msgs, 30.5s, +0 mems)
   ⏳ Waiting for indexing (up to 120s)...
   📥 Fetching all stored memories...
   📊 conv-26 complete: 19/19 sessions OK, 100 memories stored, 583.0s total

[mem0] [2/10] conv-30 — Jon & Gina
   ✓ session 1/19 (28 msgs, 30.4s, +0 mems)
   ✓ session 2/19 (16 msgs, 30.7s, +0 mems)
   ✓ session 3/19 (14 msgs, 34.5s, +0 mems)
   ✓ session 4/19 (19 msgs, 30.8s, +0 mems)
   ✓ session 5/19 (23 msgs, 30.7s, +0 mems)
   ✓ session 6/19 (19 msgs, 30.6s, +0 mems)
   ✓ session 7/19 (17 msgs, 30.7s, +0 mems)
   ✓ session 8/19 (26 msgs, 31.1s, +0 mems)
   ✓ session 9/19 (14 msgs, 31.0s, +0 mems)
   ✓ session 10/19 (14 msgs, 30.6s, +0 mems)
   ✓ session 11/19 (22 msgs, 30.8s, +0 mems)
   ✓ session 12/19 (19 msgs, 30.8s, +0 mems)
   ✓ session 13/19 (23 msgs, 30.9s, +0 mems)
   ✓ session 14/19 (20 msgs, 30.6s, +0 mems)
   ✓ session 15/19 (22 msgs, 30.7s, +0 mems)
   ✓ session 16/19 (16 msgs, 30.9s, +0 mems)
